pmid,title,authors,journal,publication_date,doi,abstract,keywords,url
34258283,"Artificial Intelligence Techniques: Analysis, Application, and Outcome in Dentistry-A Systematic Review.","Ahmed N, Abbasi MS, Zuberi F, Qamar W, Halim MSB, Maqsood A, Alam MK",BioMed research international,2021,10.1155/2021/9751564,"The objective of this systematic review was to investigate the quality and outcome of studies into artificial intelligence techniques, analysis, and effect in dentistry. Using the MeSH keywords: artificial intelligence (AI), dentistry, AI in dentistry, neural networks and dentistry, machine learning, AI dental imaging, and AI treatment recommendations and dentistry. Two investigators performed an electronic search in 5 databases: PubMed/MEDLINE (National Library of Medicine), Scopus (Elsevier), ScienceDirect databases (Elsevier), Web of Science (Clarivate Analytics), and the Cochrane Collaboration (Wiley). The English language articles reporting on AI in different dental specialties were screened for eligibility. Thirty-two full-text articles were selected and systematically analyzed according to a predefined inclusion criterion. These articles were analyzed as per a specific research question, and the relevant data based on article general characteristics, study and control groups, assessment methods, outcomes, and quality assessment were extracted. The initial search identified 175 articles related to AI in dentistry based on the title and abstracts. The full text of 38 articles was assessed for eligibility to exclude studies not fulfilling the inclusion criteria. Six articles not related to AI in dentistry were excluded. Thirty-two articles were included in the systematic review. It was revealed that AI provides accurate patient management, dental diagnosis, prediction, and decision making. Artificial intelligence appeared as a reliable modality to enhance future implications in the various fields of dentistry, i.e., diagnostic dentistry, patient management, head and neck cancer, restorative dentistry, prosthetic dental sciences, orthodontics, radiology, and periodontics. The included studies describe that AI is a reliable tool to make dental care smooth, better, time-saving, and economical for practitioners. AI benefits them in fulfilling patient demand and expectations. The dentists can use AI to ensure quality treatment, better oral health care outcome, and achieve precision. AI can help to predict failures in clinical scenarios and depict reliable solutions. However, AI is increasing the scope of state-of-the-art models in dentistry but is still under development. Further studies are required to assess the clinical performance of AI techniques in dentistry.",,https://pubmed.ncbi.nlm.nih.gov/34258283/
32449232,"The use of artificial intelligence, machine learning and deep learning in oncologic histopathology.","Sultan AS, Elgharib MA, Tavares T, Jessri M, Basile JR",Journal of oral pathology & medicine : official publication of the International Association of Oral Pathologists and the American Academy of Oral Pathology,2020 Oct,10.1111/jop.13042,"Recently, there has been a momentous drive to apply advanced artificial intelligence (AI) technologies to diagnostic medicine. The introduction of AI has provided vast new opportunities to improve health care and has introduced a new wave of heightened precision in oncologic pathology. The impact of AI on oncologic pathology has now become apparent, and its use with respect to oral oncology is still in the nascent stage. A foundational overview of AI classification systems used in medicine and a review of common terminology used in machine learning and computational pathology will be presented. This paper provides a focused review on the recent advances in AI and deep learning in oncologic histopathology and oral oncology. In addition, specific emphasis on recent studies that have applied these technologies to oral cancer prognostication will also be discussed. Machine and deep learning methods designed to enhance prognostication of oral cancer have been proposed with much of the work focused on prediction models on patient survival and locoregional recurrences in patients with oral squamous cell carcinomas (OSCC). Few studies have explored machine learning methods on OSCC digital histopathologic images. It is evident that further research at the whole slide image level is needed and future collaborations with computer scientists may progress the field of oral oncology.",,https://pubmed.ncbi.nlm.nih.gov/32449232/
35367318,Deep learning for caries detection: A systematic review.,"Mohammad-Rahimi H, Motamedian SR, Rohban MH, Krois J, Uribe SE, Mahmoudinia E, Rokhshad R, Nadimi M, Schwendicke F",Journal of dentistry,2022 Jul,10.1016/j.jdent.2022.104115,"Detecting caries lesions is challenging for dentists, and deep learning models may help practitioners to increase accuracy and reliability. We aimed to systematically review deep learning studies on caries detection. We selected diagnostic accuracy studies that used deep learning models on dental imagery (including radiographs, photographs, optical coherence tomography images, near-infrared light transillumination images). The latest version of the quality assessment tool for diagnostic accuracy studies (QUADAS-2) tool was used for risk of bias assessment. Meta-analysis was not performed due to heterogeneity in the studies methods and their performance measurements. Databases (Medline via PubMed, Google Scholar, Scopus, Embase) and a repository (ArXiv) were screened for publications published after 2010, without any limitation on language. From 252 potentially eligible references, 48 studies were assessed full-text and 42 included, using classification (n&#xa0;=&#xa0;26), object detection (n&#xa0;=&#xa0;6), or segmentation models (n&#xa0;=&#xa0;10). A wide range of performance metrics was used; image, object or pixel accuracy ranged between 68%-99%. The minority of studies (n&#xa0;=&#xa0;11) showed a low risk of biases in all domains, and 13 studies (31.0%) low risk for concerns regarding applicability. The accuracy of caries classification models varied, i.e. 71% to 96% on intra-oral photographs, 82% to 99.2% on peri-apical radiographs, 87.6% to 95.4% on bitewing radiographs, 68.0% to 78.0% on near-infrared transillumination images, 88.7% to 95.2% on optical coherence tomography images, and 86.1% to 96.1% on panoramic radiographs. Pooled diagnostic odds ratios varied from 2.27 to 32,767. For detection and segmentation models, heterogeneity in reporting did not allow useful pooling. An increasing number of studies investigated caries detection using deep learning, with a diverse types of architectures being employed. Reported accuracy seems promising, while study and reporting quality are currently low. Deep learning models can be considered as an assistant for decisions regarding the presence or absence of carious lesions.",,https://pubmed.ncbi.nlm.nih.gov/35367318/
35856183,Deep learning in periodontology and oral implantology: A scoping review.,"Mohammad-Rahimi H, Motamedian SR, Pirayesh Z, Haiat A, Zahedrozegar S, Mahmoudinia E, Rohban MH, Krois J, Lee JH, Schwendicke F",Journal of periodontal research,2022 Oct,10.1111/jre.13037,"Deep learning (DL) has been employed for a wide range of tasks in dentistry. We aimed to systematically review studies employing DL for periodontal and implantological purposes. A systematic electronic search was conducted on four databases (Medline via PubMed, Google Scholar, Scopus, and Embase) and a repository (ArXiv) for publications after 2010, without any limitation on language. In the present review, we included studies that reported deep learning models' performance on periodontal or oral implantological tasks. Given the heterogeneities in the included studies, no meta-analysis was performed. The risk of bias was assessed using the QUADAS-2 tool. We included 47 studies: focusing on imaging data (n&#xa0;=&#xa0;20) and non-imaging data in periodontology (n&#xa0;=&#xa0;12), or dental implantology (n&#xa0;=&#xa0;15). The detection of periodontitis and gingivitis or periodontal bone loss, the classification of dental implant systems, or the prediction of treatment outcomes in periodontology and implantology were major use cases. The performance of the models was generally high. However, it varied given the employed methods (which includes various types of convolutional neural networks (CNN) and multi-layered perceptron (MLP)), the variety in specific modeling tasks, as well as the chosen and reported outcomes, outcome measures and outcome level. Only a few studies (n&#xa0;=&#xa0;7) showed a low risk of bias across all assessed domains. A growing number of studies evaluated DL for periodontal or implantological objectives. Heterogeneity in study design, poor reporting and a high risk of bias severely limit the comparability of studies and the robustness of the overall evidence.",,https://pubmed.ncbi.nlm.nih.gov/35856183/
34046742,Deep learning for cephalometric landmark detection: systematic review and meta-analysis.,"Schwendicke F, Chaurasia A, Arsiwala L, Lee JH, Elhennawy K, Jost-Brinkmann PG, Demarco F, Krois J",Clinical oral investigations,2021 Jul,10.1007/s00784-021-03990-w,"Deep learning (DL) has been increasingly employed for automated landmark detection, e.g., for cephalometric purposes. We performed a systematic review and meta-analysis to assess the accuracy and underlying evidence for DL for cephalometric landmark detection on 2-D and 3-D radiographs. Diagnostic accuracy studies published in 2015-2020 in Medline/Embase/IEEE/arXiv and employing DL for cephalometric landmark detection were identified and extracted by two independent reviewers. Random-effects meta-analysis, subgroup, and meta-regression were performed, and study quality was assessed using QUADAS-2. The review was registered (PROSPERO no. 227498). From 321 identified records, 19 studies (published 2017-2020), all employing convolutional neural networks, mainly on 2-D lateral radiographs (n=15), using data from publicly available datasets (n=12) and testing the detection of a mean of 30 (SD: 25; range.: 7-93) landmarks, were included. The reference test was established by two experts (n=11), 1 expert (n=4), 3 experts (n=3), and a set of annotators (n=1). Risk of bias was high, and applicability concerns were detected for most studies, mainly regarding the data selection and reference test conduct. Landmark prediction error centered around a 2-mm error threshold (mean; 95% confidence interval: (-0.581; 95 CI: -1.264 to 0.102 mm)). The proportion of landmarks detected within this 2-mm threshold was 0.799 (0.770 to 0.824). DL shows relatively high accuracy for detecting landmarks on cephalometric imagery. The overall body of evidence is consistent but suffers from high risk of bias. Demonstrating robustness and generalizability of DL for landmark detection is needed. Existing DL models show consistent and largely high accuracy for automated detection of cephalometric landmarks. The majority of studies so far focused on 2-D imagery; data on 3-D imagery are sparse, but promising. Future studies should focus on demonstrating generalizability, robustness, and clinical usefulness of DL for this objective.",,https://pubmed.ncbi.nlm.nih.gov/34046742/
30056118,Detection and diagnosis of dental caries using a deep learning-based convolutional neural network algorithm.,"Lee JH, Kim DH, Jeong SN, Choi SH",Journal of dentistry,2018 Oct,10.1016/j.jdent.2018.07.015,"Deep convolutional neural networks (CNNs) are a rapidly emerging new area of medical research, and have yielded impressive results in diagnosis and prediction in the fields of radiology and pathology. The aim of the current study was to evaluate the efficacy of deep CNN algorithms for detection and diagnosis of dental caries on periapical radiographs. A total of 3000 periapical radiographic images were divided into a training and validation dataset (n&#x2009;=&#x2009;2400 [80%]) and a test dataset (n&#x2009;=&#x2009;600 [20%]). A pre-trained GoogLeNet Inception v3 CNN network was used for preprocessing and transfer learning. The diagnostic accuracy, sensitivity, specificity, positive predictive value, negative predictive value, receiver operating characteristic (ROC) curve, and area under the curve (AUC) were calculated for detection and diagnostic performance of the deep CNN algorithm. The diagnostic accuracies of premolar, molar, and both premolar and molar models were 89.0% (80.4-93.3), 88.0% (79.2-93.1), and 82.0% (75.5-87.1), respectively. The deep CNN algorithm achieved an AUC of 0.917 (95% CI 0.860-0.975) on premolar, an AUC of 0.890 (95% CI 0.819-0.961) on molar, and an AUC of 0.845 (95% CI 0.790-0.901) on both premolar and molar models. The premolar model provided the best AUC, which was significantly greater than those for other models (P&#x2009;&lt;&#x2009;0.001). This study highlighted the potential utility of deep CNN architecture for the detection and diagnosis of dental caries. A deep CNN algorithm provided considerably good performance in detecting dental caries in periapical radiographs. CLINICAL SIGNI&#xfb01;CANCE: Deep CNN algorithms are expected to be among the most effective and efficient methods for diagnosing dental caries.",,https://pubmed.ncbi.nlm.nih.gov/30056118/
34011314,A deep learning approach for dental implant planning in cone-beam computed tomography images.,"Kurt Bayrakdar S, Orhan K, Bayrakdar IS, Bilgir E, Ezhov M, Gusarev M, Shumilov E",BMC medical imaging,2021 May 19,10.1186/s12880-021-00618-z,"The aim of this study was to evaluate the success of the artificial intelligence (AI) system in implant planning using three-dimensional cone-beam computed tomography (CBCT) images. Seventy-five CBCT images were included in this study. In these images, bone height and thickness in 508 regions where implants were required were measured by a human observer with manual assessment method using InvivoDental 6.0 (Anatomage Inc. San Jose, CA, USA). Also, canals/sinuses/fossae associated with alveolar bones and missing tooth regions were detected. Following,&#xa0;all&#xa0;evaluations were repeated using the deep convolutional neural network (Diagnocat, Inc., San Francisco, USA) The jaws were separated as mandible/maxilla and each jaw was grouped as anterior/premolar/molar teeth region. The data obtained from manual assessment and AI methods were compared using Bland-Altman analysis and Wilcoxon signed rank test. In the bone height measurements, there were no statistically significant differences between AI and manual measurements in the premolar region of mandible and the premolar and molar regions of the maxilla (p&#x2009;&gt;&#x2009;0.05). In the bone thickness measurements, there were statistically significant differences between AI and manual measurements in all regions of maxilla and mandible (p&#x2009;&lt;&#x2009;0.001). Also, the percentage of right detection was 72.2% for canals, 66.4% for sinuses/fossae and 95.3% for missing tooth regions. Development of AI systems and their using in future for implant planning will both facilitate the work of physicians and will be a support mechanism in implantology practice to physicians.",,https://pubmed.ncbi.nlm.nih.gov/34011314/
37986239,Artificial intelligence systems in dental shade-matching: A systematic review.,"Shetty S, Gali S, Augustine D, Sv S",Journal of prosthodontics : official journal of the American College of Prosthodontists,2024 Jul,10.1111/jopr.13805,"Uses for artificial intelligence (AI) are being explored in contemporary dentistry, but artificial intelligence in dental shade-matching has not been systematically reviewed and evaluated. The purpose of this systematic review was to evaluate the accuracy of artificial intelligence in predicting dental shades in restorative dentistry. A systematic electronic search was performed with the databases MEDLINE (PubMed), Scopus, Cochrane Library, and Google Scholar. A manual search was also conducted. All titles and abstracts were subject to the inclusion criteria of observational, interventional studies, and studies published in the English language. Narrative reviews, systematic reviews, case reports, case series, letters to the editor, commentaries, studies that were not AI-based, studies that were not related to dentistry, and studies that were related to other disciplines in dentistry, other than restorative dentistry (prosthodontics and endodontics) were excluded. Two investigators independently evaluated the quality assessment of the studies by applying the Joanna Briggs Institute Critical Appraisal Checklist for Quasi-Experimental Studies (non-randomized experimental studies). A third investigator was consulted to resolve the lack of consensus. Fifty-three articles were initially found from all the searches combined from articles published from 2008 till March 2023. A total of 15 articles met the inclusion criteria and were included in the systematic review. AI algorithms for shade-matching include fuzzy logic, a genetic algorithm with back-propagation neural network, back-propagation neural networks, convolutional neural networks, artificial neural networks, support vector machine algorithms, K-nearest neighbor with decision tree and random forest, deep learning for detection of dental prostheses based on object-detection applications, You Only Look Once-YOLO. Moment invariant was used for feature extraction.&#xa0; XG (Xtreme Gradient) Boost was used in one study as a gradient-boosting machine learning algorithm. The highest accuracy in the prediction of dental shades was the decision tree regression model for leucite-based dental ceramics of 99.7% followed by the fuzzy decision of 99.62%, and support vector machine using cross-validation of 97%. Lighting conditions, shade-matching devices and color space models, and the type of AI algorithm influence the accuracy of the prediction of dental shades. Knowledge-based systems and neural networks have shown better accuracy in predicting dental shades.",,https://pubmed.ncbi.nlm.nih.gov/37986239/
30202834,"Artificial intelligence, machine learning, neural networks, and deep learning: Futuristic concepts for new dental diagnosis.","Mupparapu M, Wu CW, Chen YC","Quintessence international (Berlin, Germany : 1985)",2018,10.3290/j.qi.a41107,,,https://pubmed.ncbi.nlm.nih.gov/30202834/
34995537,Artificial Intelligence for Disease Assessment in Inflammatory Bowel Disease: How Will it Change Our Practice?,"Stidham RW, Takenaka K",Gastroenterology,2022 Apr,10.1053/j.gastro.2021.12.238,"Artificial intelligence (AI) has arrived and it will directly impact how we assess, monitor, and manage inflammatory bowel disease (IBD). Advances in the machine learning methodologies that power AI have produced astounding results for replicating expert judgment and predicting clinical outcomes, particularly in the analysis of imaging. This review will cover general concepts for AI in IBD, with descriptions of common machine learning methods, including decision trees and neural networks. Applications of AI in IBD will cover recent achievements in endoscopic image interpretation and scoring, new capabilities for cross-sectional image analysis, natural language processing for automated understanding of clinical text, and progress in AI-powered clinical decision support tools. In addition to detailing current evidence supporting the capabilities of AI for replicating expert clinical judgment, speculative commentary on how AI may advance concepts of disease activity assessment, care pathways, and pathophysiologic mechanisms of IBD will be addressed.",,https://pubmed.ncbi.nlm.nih.gov/34995537/
