PMID,Title,Authors,Journal,Publication Date,Abstract,DOI,Keywords
35329136,Artificial Intelligence in Dentistry-Narrative Review.,"Ossowska, Agata; Kusiak, Aida; Świetlik, Dariusz",International journal of environmental research and public health,15 Mar 2022,"Nowadays, artificial intelligence (AI) is becoming more important in medicine and in dentistry. It can be helpful in many fields where the human may be assisted and helped by new technologies. Neural networks are a part of artificial intelligence, and are similar to the human brain in their work and can solve given problems and make fast decisions. This review shows that artificial intelligence and the use of neural networks has developed very rapidly in recent years, and it may be an ordinary tool in modern dentistry in the near future. The advantages of this process are better efficiency, accuracy, and time saving during the diagnosis and treatment planning. More research and improvements are needed in the use of neural networks in dentistry to put them into daily practice and to facilitate the work of the dentist.",10.4103/jfmpc.jfmpc_440_19,artificial intelligence; dentistry; neural networks
32315260,Artificial Intelligence in Dentistry: Chances and Challenges.,"Schwendicke, F; Samek, W; Krois, J",Journal of dental research,Jul 2020,"The term ""artificial intelligence"" (AI) refers to the idea of machines being capable of performing human tasks. A subdomain of AI is machine learning (ML), which ""learns"" intrinsic statistical patterns in data to eventually cast predictions on unseen data. Deep learning is a ML technique using multi-layer mathematical operations for learning and inferring on complex data like imagery. This succinct narrative review describes the application, limitations and possible future of AI-based dental diagnostics, treatment planning, and conduct, for example, image analysis, prediction making, record keeping, as well as dental research and discovery. AI-based applications will streamline care, relieving the dental workforce from laborious routine tasks, increasing health at lower costs for a broader population, and eventually facilitate personalized, predictive, preventive, and participatory dentistry. However, AI solutions have not by large entered routine dental practice, mainly due to 1) limited data availability, accessibility, structure, and comprehensiveness, 2) lacking methodological rigor and standards in their development, 3) and practical questions around the value and usefulness of these solutions, but also ethics and responsibility. Any AI application in dentistry should demonstrate tangible value by, for example, improving access to and quality of care, increasing efficiency and safety of services, empowering and enabling patients, supporting medical research, or increasing sustainability. Individual privacy, rights, and autonomy need to be put front and center; a shift from centralized to distributed/federated learning may address this while improving scalability and robustness. Lastly, trustworthiness into, and generalizability of, dental AI solutions need to be guaranteed; the implementation of continuous human oversight and standards grounded in evidence-based dentistry should be expected. Methods to visualize, interpret, and explain the logic behind AI solutions will contribute (""explainable AI""). Dental education will need to accompany the introduction of clinical AI solutions by fostering digital literacy in the future dental workforce.",10.1109/TNNLS.2019.2944481,decision-making; deep learning; dental; diagnostic systems; informatics; machine learning
34258283,"Artificial Intelligence Techniques: Analysis, Application, and Outcome in Dentistry-A Systematic Review.","Ahmed, Naseer; Abbasi, Maria Shakoor; Zuberi, Filza; Qamar, Warisha; Halim, Mohamad Syahrizal Bin; Maqsood, Afsheen; Alam, Mohammad Khursheed",BioMed research international,2021,"The objective of this systematic review was to investigate the quality and outcome of studies into artificial intelligence techniques, analysis, and effect in dentistry. Using the MeSH keywords: artificial intelligence (AI), dentistry, AI in dentistry, neural networks and dentistry, machine learning, AI dental imaging, and AI treatment recommendations and dentistry. Two investigators performed an electronic search in 5 databases: PubMed/MEDLINE (National Library of Medicine), Scopus (Elsevier), ScienceDirect databases (Elsevier), Web of Science (Clarivate Analytics), and the Cochrane Collaboration (Wiley). The English language articles reporting on AI in different dental specialties were screened for eligibility. Thirty-two full-text articles were selected and systematically analyzed according to a predefined inclusion criterion. These articles were analyzed as per a specific research question, and the relevant data based on article general characteristics, study and control groups, assessment methods, outcomes, and quality assessment were extracted. The initial search identified 175 articles related to AI in dentistry based on the title and abstracts. The full text of 38 articles was assessed for eligibility to exclude studies not fulfilling the inclusion criteria. Six articles not related to AI in dentistry were excluded. Thirty-two articles were included in the systematic review. It was revealed that AI provides accurate patient management, dental diagnosis, prediction, and decision making. Artificial intelligence appeared as a reliable modality to enhance future implications in the various fields of dentistry, i.e., diagnostic dentistry, patient management, head and neck cancer, restorative dentistry, prosthetic dental sciences, orthodontics, radiology, and periodontics. The included studies describe that AI is a reliable tool to make dental care smooth, better, time-saving, and economical for practitioners. AI benefits them in fulfilling patient demand and expectations. The dentists can use AI to ensure quality treatment, better oral health care outcome, and achieve precision. AI can help to predict failures in clinical scenarios and depict reliable solutions. However, AI is increasing the scope of state-of-the-art models in dentistry but is still under development. Further studies are required to assess the clinical performance of AI techniques in dentistry.",10.14219/jada.archive.2005.0135,
37942018,Contemporary Role and Applications of Artificial Intelligence in Dentistry.,"Bonny, Talal; Al Nassan, Wafaa; Obaideen, Khaled; Al Mallahi, Maryam Nooman; Mohammad, Yara; El-Damanhoury, Hatem M",F1000Research,2023,"Artificial Intelligence (AI) technologies play a significant role and significantly impact various sectors, including healthcare, engineering, sciences, and smart cities. AI has the potential to improve the quality of patient care and treatment outcomes while minimizing the risk of human error. Artificial Intelligence (AI) is transforming the dental industry, just like it is revolutionizing other sectors. It is used in dentistry to diagnose dental diseases and provide treatment recommendations. Dental professionals are increasingly relying on AI technology to assist in diagnosis, clinical decision-making, treatment planning, and prognosis prediction across ten dental specialties. One of the most significant advantages of AI in dentistry is its ability to analyze vast amounts of data quickly and accurately, providing dental professionals with valuable insights to enhance their decision-making processes. The purpose of this paper is to identify the advancement of artificial intelligence algorithms that have been frequently used in dentistry and assess how well they perform in terms of diagnosis, clinical decision-making, treatment, and prognosis prediction in ten dental specialties; dental public health, endodontics, oral and maxillofacial surgery, oral medicine and pathology, oral & maxillofacial radiology, orthodontics and dentofacial orthopedics, pediatric dentistry, periodontics, prosthodontics, and digital dentistry in general. We will also show the pros and cons of using AI in all dental specialties in different ways. Finally, we will present the limitations of using AI in dentistry, which made it incapable of replacing dental personnel, and dentists, who should consider AI a complimentary benefit and not a threat.",10.1109/TMI.2020.2971730,Artificial Intelligence; Artificial Neural Networks; Deep Learning; Dentistry; Digital Dentistry; ‎Dental Specialty
33118431,Application of Artificial Intelligence in Dentistry.,"Shan, T; Tay, F R; Gu, L",Journal of dental research,Mar 2021,"Artificial intelligence (AI) is a technology that utilizes machines to mimic intelligent human behavior. To appreciate human-technology interaction in the clinical setting, augmented intelligence has been proposed as a cognitive extension of AI in health care, emphasizing its assistive and supplementary role to medical professionals. While truly autonomous medical robotic systems are still beyond reach, the virtual component of AI, known as software-type algorithms, is the main component used in dentistry. Because of their powerful capabilities in data analysis, these virtual algorithms are expected to improve the accuracy and efficacy of dental diagnosis, provide visualized anatomic guidance for treatment, simulate and evaluate prospective results, and project the occurrence and prognosis of oral diseases. Potential obstacles in contemporary algorithms that prevent routine implementation of AI include the lack of data curation, sharing, and readability; the inability to illustrate the inner decision-making process; the insufficient power of classical computing; and the neglect of ethical principles in the design of AI frameworks. It is necessary to maintain a proactive attitude toward AI to ensure its affirmative development and promote human-technology rapport to revolutionize dental practice. The present review outlines the progress and potential dental applications of AI in medical-aided diagnosis, treatment, and disease prediction and discusses their data limitations, interpretability, computing power, and ethical considerations, as well as their impact on dentists, with the objective of creating a backdrop for future research in this rapidly expanding arena.",10.1177/0022034520969115,big data; clinical decision making; dental; informatics; machine learning; neural networks
34144789,Artificial intelligence applications in implant dentistry: A systematic review.,"Revilla-León, Marta; Gómez-Polo, Miguel; Vyas, Shantanu; Barmak, Basir A; Galluci, German O; Att, Wael; Krishnamurthy, Vinayak R",The Journal of prosthetic dentistry,Feb 2023,"Artificial intelligence (AI) applications are growing in dental implant procedures. The current expansion and performance of AI models in implant dentistry applications have not yet been systematically documented and analyzed. The purpose of this systematic review was to assess the performance of AI models in implant dentistry for implant type recognition, implant success prediction by using patient risk factors and ontology criteria, and implant design optimization combining finite element analysis (FEA) calculations and AI models. An electronic systematic review was completed in 5 databases: MEDLINE/PubMed, EMBASE, World of Science, Cochrane, and Scopus. A manual search was also conducted. Peer-reviewed studies that developed AI models for implant type recognition, implant success prediction, and implant design optimization were included. The search strategy included articles published until February 21, 2021. Two investigators independently evaluated the quality of the studies by applying the Joanna Briggs Institute (JBI) Critical Appraisal Checklist for Quasi-Experimental Studies (nonrandomized experimental studies). A third investigator was consulted to resolve lack of consensus. Seventeen articles were included: 7 investigations analyzed AI models for implant type recognition, 7 studies included AI prediction models for implant success forecast, and 3 studies evaluated AI models for optimization of implant designs. The AI models developed to recognize implant type by using periapical and panoramic images obtained an overall accuracy outcome ranging from 93.8% to 98%. The models to predict osteointegration success or implant success by using different input data varied among the studies, ranging from 62.4% to 80.5%. Finally, the studies that developed AI models to optimize implant designs seem to agree on the applicability of AI models to improve the design of dental implants. This improvement includes minimizing the stress at the implant-bone interface by 36.6% compared with the finite element model; optimizing the implant design porosity, length, and diameter to improve the finite element calculations; or accurately determining the elastic modulus of the implant-bone interface. AI models for implant type recognition, implant success prediction, and implant design optimization have demonstrated great potential but are still in development. Additional studies are indispensable to the further development and assessment of the clinical performance of AI models for those implant dentistry applications reviewed.",10.1016/j.prosdent.2021.05.008,
37634174,Artificial intelligence in forensic medicine and forensic dentistry.,"Vodanović, M; Subašić, M; Milošević, D P; Galić, I; Brkić, H",The Journal of forensic odonto-stomatology,27 Aug 2023,"This review article aims to highlight the current possibilities for applying Artificial Intelligence in modern forensic medicine and forensic dentistry and present the advantages and disadvantages of its use. For this purpose, the relevant academic literature was searched using PubMed, Web of Science and Scopus. The application of Artificial Intelligence in forensic medicine and forensic dentistry is still in its early stages. However, the possibilities are great, and the future will show what is applicable in daily practice. Artificial Intelligence will improve the accuracy and efficiency of work in forensic medicine and forensic dentistry; it can automate some tasks; and enhance the quality of evidence. Disadvantages of the application of Artificial Intelligence may be related to discrimination, transparency, accountability, privacy, security, ethics and others. Artificial Intelligence systems should be used as a support tool, not as a replacement for forensic experts.",10.1038/s41598-019-55439-6,
34842324,Applications of artificial intelligence in dentistry: A comprehensive review.,"Carrillo-Perez, Francisco; Pecho, Oscar E; Morales, Juan Carlos; Paravina, Rade D; Della Bona, Alvaro; Ghinea, Razvan; Pulgar, Rosa; Pérez, María Del Mar; Herrera, Luis Javier",Journal of esthetic and restorative dentistry : official publication of the American Academy of Esthetic Dentistry ... [et al.],Jan 2022,"To perform a comprehensive review of the use of artificial intelligence (AI) and machine learning (ML) in dentistry, providing the community with a broad insight on the different advances that these technologies and tools have produced, paying special attention to the area of esthetic dentistry and color research. The comprehensive review was conducted in MEDLINE/PubMed, Web of Science, and Scopus databases, for papers published in English language in the last 20 years. Out of 3871 eligible papers, 120 were included for final appraisal. Study methodologies included deep learning (DL; n = 76), fuzzy logic (FL; n = 12), and other ML techniques (n = 32), which were mainly applied to disease identification, image segmentation, image correction, and biomimetic color analysis and modeling. The insight provided by the present work has reported outstanding results in the design of high-performance decision support systems for the aforementioned areas. The future of digital dentistry goes through the design of integrated approaches providing personalized treatments to patients. In addition, esthetic dentistry can benefit from those advances by developing models allowing a complete characterization of tooth color, enhancing the accuracy of dental restorations. The use of AI and ML has an increasing impact on the dental profession and is complementing the development of digital technologies and tools, with a wide application in treatment planning and esthetic dentistry procedures.",10.1111/jerd.12844,artificial intelligence; deep learning; dentistry; machine learning
33840515,Artificial intelligence applications in restorative dentistry: A systematic review.,"Revilla-León, Marta; Gómez-Polo, Miguel; Vyas, Shantanu; Barmak, Abdul Basir; Özcan, Mutlu; Att, Wael; Krishnamurthy, Vinayak R",The Journal of prosthetic dentistry,Nov 2022,"Artificial intelligence (AI) applications are increasing in restorative procedures. However, the current development and performance of AI in restorative dentistry applications has not yet been systematically documented and analyzed. The purpose of this systematic review was to identify and evaluate the ability of AI models in restorative dentistry to diagnose dental caries and vertical tooth fracture, detect tooth preparation margins, and predict restoration failure. An electronic systematic review was performed in 5 databases: MEDLINE/PubMed, EMBASE, World of Science, Cochrane, and Scopus. A manual search was also conducted. Studies with AI models were selected based on 4 criteria: diagnosis of dental caries, diagnosis of vertical tooth fracture, detection of the tooth preparation finishing line, and prediction of restoration failure. Two investigators independently evaluated the quality assessment of the studies by applying the Joanna Briggs Institute (JBI) Critical Appraisal Checklist for Quasi-Experimental Studies (nonrandomized experimental studies). A third investigator was consulted to resolve lack of consensus. A total of 34 articles were included in the review: 29 studies included AI techniques for the diagnosis of dental caries or the elaboration of caries and postsensitivity prediction models, 2 for the diagnosis of vertical tooth fracture, 1 for the tooth preparation finishing line location, and 2 for the prediction of the restoration failure. Among the studies reviewed, the AI models tested obtained a caries diagnosis accuracy ranging from 76% to 88.3%, sensitivity ranging from 73% to 90%, and specificity ranging from 61.5% to 93%. The caries prediction accuracy among the studies ranged from 83.6% to 97.1%. The studies reported an accuracy for the vertical tooth fracture diagnosis ranging from 88.3% to 95.7%. The article using AI models to locate the finishing line reported an accuracy ranging from 90.6% to 97.4%. AI models have the potential to provide a powerful tool for assisting in the diagnosis of caries and vertical tooth fracture, detecting the tooth preparation margin, and predicting restoration failure. However, the dental applications of AI models are still in development. Further studies are required to assess the clinical performance of AI models in restorative dentistry.",10.1016/j.prosdent.2021.02.010,
35202378,"Artificial intelligence in dentistry, orthodontics and Orthognathic surgery: A literature review.","Siddiqui, Tania Arshad; Sukhia, Rashna Hoshang; Ghandhi, Dinaz",JPMA. The Journal of the Pakistan Medical Association,Feb 2022,"Artificial intelligence is the ability of machines to work like humans. The concept initially began with the advent of mathematical models which gave calculated outputs based on inputs fed into the system. This was later modified with the introduction of various algorithms which can either give output based on overall data analysis or by selection of information within previous data. It is steadily becoming a favoured mode of treatment due to its efficiency and ability to manage complex conditions in all specialities. In dentistry, artificial intelligence has also popularised over the past few decades. They have been found useful for diagnosis in restorative dentistry, oral pathology and oral surgery. In orthodontics, they have been utilised for diagnosis, assessment of treatment needs, cephalometrics, treatment planning and orthognathic surgeries etc. The current literature review was planned to highlight the uses of artificial intelligence in dentistry, specifically in orthodontics and orthognathic surgery.",10.47391/JPMA.AKU-18,"Artificial intelligence, Dentistry, Orthodontics, Orthognathic surgery, Diagnosis."
