Title,Authors,Published Date,Abstract,Link
"Privacy-Preserving Distributed Link Predictions Among Peers in Online
  Classrooms Using Federated Learning","Anurata Prabha Hridi, Muntasir Hoq, Zhikai Gao, Collin Lynch, Rajeev Sahay, Seyyedali Hosseinalipour, Bita Akram",2025-04-14T17:43:11Z,"  Social interactions among classroom peers, represented as social learning
networks (SLNs), play a crucial role in enhancing learning outcomes. While SLN
analysis has recently garnered attention, most existing approaches rely on
centralized training, where data is aggregated and processed on a local/cloud
server with direct access to raw data. However, in real-world educational
settings, such direct access across multiple classrooms is often restricted due
to privacy concerns. Furthermore, training models on isolated classroom data
prevents the identification of common interaction patterns that exist across
multiple classrooms, thereby limiting model performance. To address these
challenges, we propose one of the first frameworks that integrates Federated
Learning (FL), a distributed and collaborative machine learning (ML) paradigm,
with SLNs derived from students' interactions in multiple classrooms' online
forums to predict future link formations (i.e., interactions) among students.
By leveraging FL, our approach enables collaborative model training across
multiple classrooms while preserving data privacy, as it eliminates the need
for raw data centralization. Recognizing that each classroom may exhibit unique
student interaction dynamics, we further employ model personalization
techniques to adapt the FL model to individual classroom characteristics. Our
results demonstrate the effectiveness of our approach in capturing both shared
and classroom-specific representations of student interactions in SLNs.
Additionally, we utilize explainable AI (XAI) techniques to interpret model
predictions, identifying key factors that influence link formation across
different classrooms. These insights unveil the drivers of social learning
interactions within a privacy-preserving, collaborative, and distributed ML
framework -- an aspect that has not been explored before.
",http://arxiv.org/abs/2504.10456v1
"RealWebAssist: A Benchmark for Long-Horizon Web Assistance with
  Real-World Users","Suyu Ye, Haojun Shi, Darren Shih, Hyokun Yun, Tanya Roosta, Tianmin Shu",2025-04-14T17:36:46Z,"  To achieve successful assistance with long-horizon web-based tasks, AI agents
must be able to sequentially follow real-world user instructions over a long
period. Unlike existing web-based agent benchmarks, sequential instruction
following in the real world poses significant challenges beyond performing a
single, clearly defined task. For instance, real-world human instructions can
be ambiguous, require different levels of AI assistance, and may evolve over
time, reflecting changes in the user's mental state. To address this gap, we
introduce RealWebAssist, a novel benchmark designed to evaluate sequential
instruction-following in realistic scenarios involving long-horizon
interactions with the web, visual GUI grounding, and understanding ambiguous
real-world user instructions. RealWebAssist includes a dataset of sequential
instructions collected from real-world human users. Each user instructs a
web-based assistant to perform a series of tasks on multiple websites. A
successful agent must reason about the true intent behind each instruction,
keep track of the mental state of the user, understand user-specific routines,
and ground the intended tasks to actions on the correct GUI elements. Our
experimental results show that state-of-the-art models struggle to understand
and ground user instructions, posing critical challenges in following
real-world user instructions for long-horizon web assistance.
",http://arxiv.org/abs/2504.10445v1
HUMOTO: A 4D Dataset of Mocap Human Object Interactions,"Jiaxin Lu, Chun-Hao Paul Huang, Uttaran Bhattacharya, Qixing Huang, Yi Zhou",2025-04-14T16:59:29Z,"  We present Human Motions with Objects (HUMOTO), a high-fidelity dataset of
human-object interactions for motion generation, computer vision, and robotics
applications. Featuring 736 sequences (7,875 seconds at 30 fps), HUMOTO
captures interactions with 63 precisely modeled objects and 72 articulated
parts. Our innovations include a scene-driven LLM scripting pipeline creating
complete, purposeful tasks with natural progression, and a mocap-and-camera
recording setup to effectively handle occlusions. Spanning diverse activities
from cooking to outdoor picnics, HUMOTO preserves both physical accuracy and
logical task flow. Professional artists rigorously clean and verify each
sequence, minimizing foot sliding and object penetrations. We also provide
benchmarks compared to other datasets. HUMOTO's comprehensive full-body motion
and simultaneous multi-object interactions address key data-capturing
challenges and provide opportunities to advance realistic human-object
interaction modeling across research domains with practical applications in
animation, robotics, and embodied AI systems. Project:
https://jiaxin-lu.github.io/humoto/ .
",http://arxiv.org/abs/2504.10414v1
"AI-Driven Code Refactoring: Using Graph Neural Networks to Enhance
  Software Maintainability",Gopichand Bandarupalli,2025-04-14T16:58:54Z,"  This study explores Graph Neural Networks (GNNs) as a transformative tool for
code refactoring, using abstract syntax trees (ASTs) to boost software
maintainability. It analyzes a dataset of 2 million snippets from CodeSearchNet
and a custom 75000-file GitHub Python corpus, comparing GNNs against rule-based
SonarQube and decision trees. Metrics include cyclomatic complexity (target
below 10), coupling (target below 5), and refactoring precision. GNNs achieve
92% accuracy, reducing complexity by 35% and coupling by 33%, outperforming
SonarQube (78%, 16%) and decision trees (85%, 25%). Preprocessing fixed 60% of
syntax errors. Bar graphs, tables, and AST visuals clarify results. This offers
a scalable AI-driven path to cleaner codebases, which is crucial for software
engineering.
",http://arxiv.org/abs/2504.10412v1
"FPGA-Optimized Hardware Accelerator for Fast Fourier Transform and
  Singular Value Decomposition in AI","Hong Ding, Chia Chao Kang, SuYang Xi, Zehang Liu, Xuan Zhang, Yi Ding",2025-04-14T16:58:46Z,"  This research introduces an FPGA-based hardware accelerator to optimize the
Singular Value Decomposition (SVD) and Fast Fourier transform (FFT) operations
in AI models. The proposed design aims to improve processing speed and reduce
computational latency. Through experiments, we validate the performance
benefits of the hardware accelerator and show how well it handles FFT and SVD
operations. With its strong security and durability, the accelerator design
achieves significant speedups over software implementations, thanks to its
modules for data flow control, watermark embedding, FFT, and SVD.
",http://arxiv.org/abs/2504.10411v1
"Performance of Large Language Models in Supporting Medical Diagnosis and
  Treatment","Diogo Sousa, Guilherme Barbosa, Catarina Rocha, Dulce Oliveira",2025-04-14T16:53:59Z,"  The integration of Large Language Models (LLMs) into healthcare holds
significant potential to enhance diagnostic accuracy and support medical
treatment planning. These AI-driven systems can analyze vast datasets,
assisting clinicians in identifying diseases, recommending treatments, and
predicting patient outcomes. This study evaluates the performance of a range of
contemporary LLMs, including both open-source and closed-source models, on the
2024 Portuguese National Exam for medical specialty access (PNA), a
standardized medical knowledge assessment. Our results highlight considerable
variation in accuracy and cost-effectiveness, with several models demonstrating
performance exceeding human benchmarks for medical students on this specific
task. We identify leading models based on a combined score of accuracy and
cost, discuss the implications of reasoning methodologies like
Chain-of-Thought, and underscore the potential for LLMs to function as valuable
complementary tools aiding medical professionals in complex clinical
decision-making.
",http://arxiv.org/abs/2504.10405v1
"Satellite Federated Fine-Tuning for Foundation Models in Space Computing
  Power Networks","Yan zhu, Jingyang zhu, Ting Wang, Yuanming Shi, Chunxiao Jiang, Khaled Ben Letaief",2025-04-14T16:52:34Z,"  Advancements in artificial intelligence (AI) and low-earth orbit (LEO)
satellites have promoted the application of large remote sensing foundation
models for various downstream tasks. However, direct downloading of these
models for fine-tuning on the ground is impeded by privacy concerns and limited
bandwidth. Satellite federated learning (FL) offers a solution by enabling
model fine-tuning directly on-board satellites and aggregating model updates
without data downloading. Nevertheless, for large foundation models, the
computational capacity of satellites is insufficient to support effective
on-board fine-tuning in traditional satellite FL frameworks. To address these
challenges, we propose a satellite-ground collaborative federated fine-tuning
framework. The key of the framework lies in how to reasonably decompose and
allocate model components to alleviate insufficient on-board computation
capabilities. During fine-tuning, satellites exchange intermediate results with
ground stations or other satellites for forward propagation and back
propagation, which brings communication challenges due to the special
communication topology of space transmission networks, such as intermittent
satellite-ground communication, short duration of satellite-ground
communication windows, and unstable inter-orbit inter-satellite links (ISLs).
To reduce transmission delays, we further introduce tailored communication
strategies that integrate both communication and computing resources.
Specifically, we propose a parallel intra-orbit communication strategy, a
topology-aware satellite-ground communication strategy, and a
latency-minimalization inter-orbit communication strategy to reduce space
communication costs. Simulation results demonstrate significant reductions in
training time with improvements of approximately 33%.
",http://arxiv.org/abs/2504.10403v1
Ctrl-Z: Controlling AI Agents via Resampling,"Aryan Bhatt, Cody Rushing, Adam Kaufman, Tyler Tracy, Vasil Georgiev, David Matolcsi, Akbir Khan, Buck Shlegeris",2025-04-14T16:22:11Z,"  Control evaluations measure whether monitoring and security protocols for AI
systems prevent intentionally subversive AI models from causing harm. Our work
presents the first control evaluation performed in an agent environment. We
construct BashBench, a dataset of 257 challenging multi-step system
administration tasks, and evaluate whether various safety measures can prevent
an adversarially constructed AI agent from covertly downloading and executing
malicious code in this environment. This multi-step setting introduces new
attack and defense dynamics, which we investigate in order to design novel
control protocols that prevent safety failures without hindering the ability of
non-malicious agents to perform useful work. We introduce a class of control
protocols called resample protocols that dynamically take additional samples of
certain actions. We find these protocols significantly improve on existing
techniques by selectively blocking the AI agent from executing suspicious code
and incriminating the agent by generating additional examples of dangerous
behavior. We measure the tradeoff between attack prevention and usefulness; our
best protocol combines resampling with analysis of previous steps, reducing the
success rate of attacks from 58% to 7% at a 5% cost to the performance of a
non-malicious agent.
",http://arxiv.org/abs/2504.10374v1
"DUE: A Deep Learning Framework and Library for Modeling Unknown
  Equations","Junfeng Chen, Kailiang Wu, Dongbin Xiu",2025-04-14T16:20:55Z,"  Equations, particularly differential equations, are fundamental for
understanding natural phenomena and predicting complex dynamics across various
scientific and engineering disciplines. However, the governing equations for
many complex systems remain unknown due to intricate underlying mechanisms.
Recent advancements in machine learning and data science offer a new paradigm
for modeling unknown equations from measurement or simulation data. This
paradigm shift, known as data-driven discovery or modeling, stands at the
forefront of AI for science, with significant progress made in recent years. In
this paper, we introduce a systematic framework for data-driven modeling of
unknown equations using deep learning. This versatile framework is capable of
learning unknown ODEs, PDEs, DAEs, IDEs, SDEs, reduced or partially observed
systems, and non-autonomous differential equations. Based on this framework, we
have developed Deep Unknown Equations (DUE), an open-source software package
designed to facilitate the data-driven modeling of unknown equations using
modern deep learning techniques. DUE serves as an educational tool for
classroom instruction, enabling students and newcomers to gain hands-on
experience with differential equations, data-driven modeling, and contemporary
deep learning approaches such as FNN, ResNet, generalized ResNet, operator
semigroup networks (OSG-Net), and Transformers. Additionally, DUE is a
versatile and accessible toolkit for researchers across various scientific and
engineering fields. It is applicable not only for learning unknown equations
from data but also for surrogate modeling of known, yet complex, equations that
are costly to solve using traditional numerical methods. We provide detailed
descriptions of DUE and demonstrate its capabilities through diverse examples,
which serve as templates that can be easily adapted for other applications.
",http://arxiv.org/abs/2504.10373v1
"FingER: Content Aware Fine-grained Evaluation with Reasoning for
  AI-Generated Videos","Rui Chen, Lei Sun, Jing Tang, Geng Li, Xiangxiang Chu",2025-04-14T16:07:16Z,"  Recent advances in video generation have posed great challenges in the
assessment of AI-generated content, particularly with the emergence of
increasingly sophisticated models. The various inconsistencies and defects
observed in such videos are inherently complex, making overall scoring
notoriously difficult. In this paper, we emphasize the critical importance of
integrating fine-grained reasoning into video evaluation, and we propose
$\textbf{F}$ing$\textbf{ER}$, a novel entity-level reasoning evaluation
framework that first automatically generates $\textbf{F}$ine-grained
$\textbf{E}$ntity-level questions, and then answers those questions by a
$\textbf{R}$easoning model with scores, which can be subsequently weighted
summed to an overall score for different applications. Specifically, we
leverage LLMs to derive entity-level questions across five distinct
perspectives, which (i) often focus on some specific entities of the content,
thereby making answering or scoring much easier by MLLMs, and (ii) are more
interpretable. Then we construct a FingER dataset, consisting of approximately
3.3k videos and corresponding 60k fine-grained QA annotations, each with
detailed reasons. Based on that, we further investigate various training
protocols to best incentivize the reasoning capability of MLLMs for correct
answer prediction. Extensive experiments demonstrate that a reasoning model
trained using Group Relative Policy Optimization (GRPO) with a cold-start
strategy achieves the best performance. Notably, our model surpasses existing
methods by a relative margin of $11.8\%$ on GenAI-Bench and $5.5\%$ on
MonetBench with only 3.3k training videos, which is at most one-tenth of the
training samples utilized by other methods. Our code and dataset will be
released soon.
",http://arxiv.org/abs/2504.10358v1
